# Constructed from biom file
#OTU ID	baseline_1	baseline_2	baseline_3	baseline_4	canola_1103_f23	canola_1103_s23	canola_112_f23	canola_112_s23	canola_603_f23	canola_603_s23	canola_707_f23	canola_707_s23	fallow_101_f23	fallow_101_s23	fallow_1112_f23	fallow_1112_s23	fallow_607_f23	fallow_607_s23	fallow_709_f23	fallow_709_s23
497a26126c9e726c768bdec79e8c4e9b	566.0	338.0	1165.0	2998.0	112.0	629.0	88.0	2136.0	79.0	4236.0	150.0	775.0	0.0	841.0	97.0	3149.0	200.0	1102.0	60.0	2739.0
674d3fca8b60d684ea44b52ad3fd4c73	0.0	0.0	0.0	0.0	394.0	5235.0	156.0	1066.0	223.0	2632.0	1247.0	1525.0	86.0	1160.0	966.0	1942.0	927.0	956.0	415.0	2523.0
759b863f884fa21ea2338811656c048e	0.0	0.0	0.0	0.0	2654.0	0.0	674.0	0.0	976.0	0.0	7326.0	0.0	4725.0	0.0	4944.0	0.0	0.0	0.0	0.0	0.0
bcd844d6c955380a3483e0a4ce72a7e4	0.0	0.0	0.0	0.0	0.0	662.0	0.0	0.0	0.0	0.0	0.0	0.0	88.0	0.0	13209.0	1230.0	2172.0	0.0	2651.0	102.0
9ac3bb1d7dedb08a012692a6f536b5af	373.0	85.0	570.0	222.0	292.0	1609.0	111.0	7190.0	289.0	564.0	493.0	836.0	0.0	3189.0	154.0	540.0	100.0	1479.0	321.0	1626.0
e57c5df6a9b3b982472e7754ed31f313	4055.0	4732.0	1508.0	3106.0	0.0	45.0	21.0	118.0	0.0	617.0	62.0	1482.0	0.0	3713.0	0.0	74.0	0.0	337.0	0.0	17.0
adbda4915419b8f4cd4a001a04cdfc02	0.0	187.0	0.0	0.0	771.0	1522.0	965.0	554.0	258.0	325.0	501.0	61.0	370.0	437.0	1682.0	5118.0	1325.0	107.0	415.0	3214.0
68262884f1021c896f8e1bf7348d773c	0.0	0.0	0.0	0.0	7.0	2228.0	0.0	6757.0	34.0	3182.0	0.0	5153.0	0.0	0.0	0.0	11.0	0.0	0.0	0.0	0.0
9020ef3fe22f06250ddab2826840c138	0.0	0.0	0.0	0.0	1678.0	6820.0	275.0	2587.0	0.0	0.0	610.0	1879.0	501.0	2219.0	12.0	0.0	173.0	0.0	327.0	0.0
bcba47620c299fd34809f143e3d26dff	281.0	81.0	265.0	0.0	180.0	6016.0	192.0	630.0	332.0	1057.0	111.0	1019.0	275.0	2611.0	415.0	646.0	361.0	0.0	272.0	397.0
b4289ab0a9a00034c1fbce477b2c4ded	743.0	1768.0	3524.0	1624.0	118.0	455.0	42.0	2454.0	0.0	593.0	36.0	1039.0	95.0	1727.0	36.0	179.0	7.0	114.0	111.0	192.0
8c7dd795218624e2cf2f1f0db128c1ac	0.0	298.0	0.0	0.0	0.0	0.0	0.0	0.0	13506.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
92f1720367db58c68a96eceb9feb416a	656.0	34.0	744.0	317.0	25.0	0.0	0.0	2059.0	56.0	2600.0	564.0	0.0	9.0	1313.0	30.0	161.0	236.0	2374.0	159.0	2024.0
7424924c58bcbf2d7c48ade7308d3b57	1344.0	1059.0	918.0	903.0	329.0	1014.0	193.0	1015.0	317.0	872.0	346.0	804.0	150.0	628.0	325.0	932.0	283.0	858.0	168.0	832.0
2f7db29d89aa3dce7453fcc7348598e9	5627.0	465.0	924.0	1217.0	54.0	0.0	0.0	52.0	0.0	3652.0	0.0	0.0	0.0	291.0	0.0	0.0	0.0	0.0	0.0	381.0
75b3b181726994cc1dc5f07b22f72ae3	0.0	0.0	0.0	0.0	293.0	219.0	102.0	2160.0	155.0	1252.0	196.0	2952.0	17.0	1146.0	71.0	472.0	105.0	1706.0	41.0	191.0
4608fae4bbc9964cdd17af8782f2155e	1699.0	1250.0	2980.0	1260.0	21.0	0.0	31.0	147.0	0.0	819.0	0.0	129.0	0.0	335.0	0.0	894.0	40.0	625.0	0.0	359.0
e4c616e0e34cf5f3837203933c18e498	1310.0	648.0	1293.0	351.0	17.0	0.0	36.0	669.0	28.0	0.0	12.0	493.0	9.0	664.0	0.0	2849.0	0.0	432.0	35.0	1247.0
206d00445a497d2441220533e0f6435a	41.0	0.0	42.0	1541.0	41.0	135.0	21.0	105.0	0.0	0.0	0.0	5925.0	0.0	0.0	0.0	2165.0	0.0	0.0	0.0	47.0
0b36c352632cb1346cdc7d73f9fb376c	0.0	0.0	0.0	27.0	0.0	0.0	0.0	0.0	0.0	0.0	2216.0	0.0	0.0	0.0	0.0	0.0	7599.0	0.0	0.0	0.0
c06ccd1f7d57566ef669942328b1a946	2693.0	803.0	762.0	1643.0	0.0	852.0	48.0	195.0	10.0	396.0	624.0	172.0	50.0	401.0	97.0	375.0	46.0	356.0	61.0	0.0
d99d3eeff63e89781b87c285b934a653	0.0	0.0	0.0	20.0	402.0	225.0	55.0	433.0	515.0	92.0	1276.0	452.0	22.0	0.0	161.0	251.0	1038.0	1843.0	1005.0	1630.0
a3b2b02aac7249a0f4925e18ecc926c2	1190.0	860.0	500.0	835.0	183.0	0.0	191.0	740.0	268.0	646.0	253.0	570.0	110.0	495.0	247.0	705.0	208.0	435.0	168.0	536.0
fcd80f0cf279eff3c50b66a78d98beeb	0.0	44.0	0.0	0.0	0.0	0.0	29.0	0.0	82.0	0.0	468.0	0.0	738.0	0.0	310.0	14.0	0.0	0.0	6915.0	0.0
b3bc75b5a73133d32c26ffd8ae90d41d	0.0	0.0	0.0	0.0	2085.0	0.0	222.0	170.0	1947.0	0.0	575.0	0.0	173.0	71.0	1242.0	268.0	470.0	213.0	1041.0	65.0
86d6db0b6e15510fa5d27ceae8fd5e0d	621.0	1494.0	720.0	806.0	72.0	726.0	0.0	1633.0	26.0	40.0	0.0	483.0	0.0	391.0	0.0	0.0	0.0	50.0	41.0	1070.0
a76e065bdfde0aa883c898ccf5f092fc	1285.0	884.0	2886.0	1000.0	76.0	373.0	0.0	342.0	0.0	0.0	28.0	0.0	0.0	160.0	35.0	116.0	0.0	867.0	20.0	63.0
50d3116d6a3a0519127f1aa086236748	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8118.0	0.0	0.0	0.0
547b78057390d8dd87e029218928ab3c	0.0	0.0	0.0	0.0	178.0	2119.0	47.0	109.0	616.0	82.0	32.0	771.0	412.0	299.0	273.0	1696.0	19.0	258.0	95.0	1026.0
f6c528c217081be9871de0fc58b89408	0.0	59.0	0.0	0.0	0.0	91.0	26.0	956.0	1062.0	1011.0	0.0	3132.0	8.0	223.0	121.0	797.0	289.0	0.0	177.0	0.0
