Feature ID	Taxon	Confidence
f229bc8757981ab84ae78a847d2bcabd	d__Bacteria; p__Myxococcota_A_473307; c__Polyangia_463783; o__Haliangiales_463188; f__Haliangiaceae_463185; g__JABFXX01; s__JABFXX01 sp005887925	0.9999994636131806
702af9e944edfd5a1a7f0dce0d566376	d__Bacteria; p__Actinomycetota; c__Actinomycetes; o__Actinomycetales; f__Microbacteriaceae	0.9999992868577854
cb5b9907447a49154182dee3ea78d16e	d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Steroidobacterales; f__Steroidobacteraceae; g__; s__	0.9999980038790738
93aed76e27a38212571103a7d89ae042	d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Steroidobacterales; f__Steroidobacteraceae; g__; s__	0.99962853793554
c2a5397b1fc78b548fad3ba0ab8db00d	d__Bacteria; p__Patescibacteria; c__Saccharimonadia; o__Saccharimonadales; f__UBA4665; g__PMNU01; s__PMNU01 sp002952755	0.8530181441937698
f1038d5657f0ede06c0c2498bf1ab45a	d__Bacteria; p__Bacillota_I; c__Bacilli_A; o__Mycoplasmatales; f__; g__; s__	0.998524984825401
963e4f758febbee4d69a5330aba8f4b5	Unassigned	0.7426765915292053
53ca9e399a28df6aa6230f09dcd35cbf	d__Bacteria	0.8597763535394811
0da4b2c3004eb98400a2bc1b1afd4522	d__Bacteria; p__Patescibacteria; c__Saccharimonadia; o__Saccharimonadales; f__UBA2112; g__; s__	0.9996030067325231
c2d5b1fe7e78d3d6f19b77c071c5c0f8	d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Xanthomonadales; f__Xanthomonadaceae; g__Xanthomonas_A_614439	0.9996596665000563
88869b3ca1c2b545f03453352ce1983c	Unassigned	0.6144997709667734
2cfe8c2eff2d4d14c14f495d861b8233	Unassigned	0.6282879271406898
b701af8d98ca714dab16ab6724bb631a	d__Bacteria; p__Actinomycetota; c__Actinomycetes; o__Actinomycetales; f__Microbacteriaceae	0.9999988935757083
857805dbb2ebd60a913603dcce4b483a	d__Bacteria; p__Bacillota_I; c__Bacilli_A; o__Paenibacillales; f__Paenibacillaceae_367444; g__Saccharibacillus; s__Saccharibacillus endophyticus	0.9999851802376364
8f095d3ea9df8f6449dc69315c77b191	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Chitinophagales; f__Chitinophagaceae; g__Niastella	0.9310195437482315
db66071d30f1e311d4458035a349d027	d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Sphingomonadales; f__Sphingomonadaceae_486827; g__Sphingomonas_L_486704	0.9997158224562261
dfa90bfa30b156226da886c874339985	d__Bacteria	0.7543981438763345
4eb23054d18671a78d751d0ff3c16a40	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Chitinophagales; f__Chitinophagaceae; g__Niastella; s__Niastella gongjuensis	0.8479688075125061
4c46244bc67600a57ea5a1092b3b2213	Unassigned	0.6131845438662387
72860b449f8d7fb03c0c7da687a08c71	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Flavobacteriales_B_877923; f__Flavobacteriaceae; g__Flavobacterium	0.9999999999701173
c3fe6ae58bb1e240a989dac6b2708532	d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Rhizobiales_505101; f__Rhizobiaceae; g__Aureimonas_A_501548	0.9900163995169371
cd8468c3870b7b4416ff876f2fe91385	Unassigned	0.612351768820667
70869d0feda2b000386a1851bdfcaffe	d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Xanthomonadales; f__Rhodanobacteraceae; g__Dokdonella_A; s__Dokdonella_A soli	0.9574985221652088
1c2b8892a0d7f828d72808cd01cfd199	d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Rhizobiales_505101; f__Devosiaceae; g__Devosia_A_501803	0.9979038903717022
bd76559000507550d02b3a9daacfd3ca	d__Bacteria; p__Myxococcota_A_473307; c__Polyangia_463783; o__Haliangiales_463188; f__Haliangiaceae_463185; g__JABFXX01; s__JABFXX01 sp005887925	0.9999508951933681
b5c8ed4496d79b916859402cdf11f0a7	d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Sphingomonadales; f__Sphingomonadaceae_486827; g__Sphingomonas_L_486704; s__Sphingomonas_L_486704 sp001421355	0.7252889171225154
44e2ab81e5e7cff6d965651c707b9479	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Chitinophagales; f__Chitinophagaceae; g__Niastella; s__	0.7147467199379375
99560c43b4ec0b970f9e21015effd0d9	d__Bacteria	0.9798224812693856
